Player,Player Short Name,Team,Position,Pts
nuwan thushara,n thushara,sl,bowl,0
milan rathnayake,m rathnayake,sl,bowl,0
dunith wellalage,d wellalage,sl,bowl,0
wanindu hasaranga,w hasaranga,sl,bowl,0
sahan arachchige,s arachchige,sl,alr,0
kamindu mendis,k mendis,sl,bat,0
charith asalanka,c asalanka,sl,bat,0
janith liyanage,j liyanage,sl,bat,0
niroshan dickwella,n dickwella,sl,wk,0
dhananjaya de silva,d de silva,sl,alr,0
kusal perera,k perera,sl,wk,0
kamil mishara,k mishara,sl,bat,0
kusal mendis,k mendis,sl,wk,0
pathum nissanka,p nissanka,sl,bat,0
dasun shanaka,d shanaka,sl,bat,0
hassnain shah,h shah,oman,bowl,0
jiten ramanandi,j ramanandi,oman,bowl,0
shafiq jan,s jan,oman,bowl,0
shakeel ahmed,s ahmed,oman,bowl,0
ashish odedara,a odedara,oman,bat,0
jay odedra,j odedra,oman,bowl,0
sufyan mehmood,s mehmood,oman,bowl,0
nadeem khan,n khan,oman,alr,0
shah faisal,s faisal,oman,bat,0
karan sonavale,k sonavale,oman,bat,0
wasim ali,w ali,oman,alr,0
hammad mirza,h mirza,oman,wk,0
mohammad nadeem,m nadeem,oman,bowl,0
vinayak shukla,v shukla,oman,wk,0
jatinder singh,j singh,oman,bat,0
tim tector,t tector,ire,bat,0
matthew humphreys,m humphreys,ire,bowl,0
ben calitz,b calitz,ire,bat,0
craig young,c young,ire,bowl,0
ben white,b white,ire,bowl,0
lorcan tucker,l tucker,ire,wk,0
harry tector,h tector,ire,bat,0
barry mccarthy,b mccarthy,ire,bowl,0
josh little,j little,ire,bowl,0
george dockrell,g dockrell,ire,bowl,0
gareth delany,g delany,ire,alr,0
curtis campher,c campher,ire,alr,0
ross adair,r adair,ire,bat,0
mark adair,m adair,ire,bowl,0
paul stirling,p stirling,ire,bat,0
adam zampa,a zampa,aus,bowl,0
marcus stoinis,m stoinis,aus,alr,0
matthew short,m short,aus,bat,0
glenn maxwell,g maxwell,aus,alr,0
matthew kuhnemann,m kuhnemann,aus,bowl,0
josh inglis,j inglis,aus,wk,0
travis head,t head,aus,bat,0
josh hazlewood,j hazlewood,aus,bowl,0
cameron green,c green,aus,alr,0
nathan ellis,n ellis,aus,bowl,0
tim david,t david,aus,bat,0
pat cummins,p cummins,aus,bowl,0
cooper connolly,c connolly,aus,alr,0
xavier bartlett,x bartlett,aus,bowl,0
mitchell marsh,m marsh,aus,bat,0
zach lion-cachet,z lion-cachet,neth,alr,0
saqib zulfiqar,s zulfiqar,neth,bat,0
paul van meekeren,p van meekeren,neth,bowl,0
roelof van der merwe,r van der merwe,neth,alr,0
timm van der gugten,t van der gugten,neth,bowl,0
logan van beek,l van beek,neth,bowl,0
max o'dowd,m o'dowd,neth,bat,0
michael levitt,m levitt,neth,bat,0
kyle klein,k klein,neth,bowl,0
fred klaassen,f klaassen,neth,bowl,0
aryan dutt,a dutt,neth,bowl,0
bas de leede,b de leede,neth,alr,0
noah croes,n croes,neth,wk,0
colin ackermann,c ackermann,neth,alr,0
scott edwards,s edwards,neth,wk,0
willem myburgh,w myburgh,nam,alr,0
jan balt,j balt,nam,bat,0
jan loftie-eaton,j loftie-eaton,nam,bat,0
max heingo,m heingo,nam,bowl,0
louren steenkamp,l steenkamp,nam,bat,0
dylan leicher,d leicher,nam,alr,0
ben shikongo,b shikongo,nam,bowl,0
jack brassell,j brassell,nam,bowl,0
malan kruger,m kruger,nam,bat,0
jan frylinck,j frylinck,nam,bowl,0
jj smit,jj smit,nam,alr,0
ruben trumpelmann,r trumpelmann,nam,bowl,0
bernard scholtz,b scholtz,nam,bowl,0
zane green,z green,nam,wk,0
gerhard erasmus,g erasmus,nam,bat,0
rinku singh,r singh,ind,bat,0
washington sundar,w sundar,ind,alr,0
axar patel,a patel,ind,alr,0
kuldeep yadav,k yadav,ind,bowl,0
varun chakravarthy,v chakravarthy,ind,bowl,0
harshit rana,h rana,ind,bowl,0
jasprit bumrah,j bumrah,ind,bowl,0
arshdeep singh,a singh,ind,bowl,0
hardik pandya,h pandya,ind,alr,0
ishan kishan,i kishan,ind,wk,0
shivam dube,s dube,ind,bat,0
sanju samson,s samson,ind,wk,0
tilak varma,t varma,ind,bat,0
abhishek sharma,a sharma,ind,bat,0
suryakumar yadav,s yadav,ind,bat,0
