Player,Player Short Name,Team,Position,Pts,Owner
finlay mccreath,f mccreath,scot,bat,0,Unowned
zainullah ihsan,z ihsan,scot,bowl,0,Unowned
chris greaves,c greaves,scot,alr,0,Unowned
quentin sampson,q sampson,wi,bat,0,Unowned
jayden seales,j seales,wi,bowl,0,Unowned
johnson charles,j charles,wi,bat,0,Unowned
jason smith,j smith,sa,bat,0,sudarshan
anrich nortje,a nortje,sa,bowl,0,ds&ps
kwena maphaka,k maphaka,sa,bowl,0,Unowned
ish sodhi,i sodhi,nz,bowl,0,Unowned
adam milne,a milne,nz,bowl,0,Unowned
devon conway,d conway,nz,bat,0,mahaarajanmg
michael bracewell,m bracewell,nz,alr,0,Unowned
ajayveer hundal,a hundal,can,alr,0,Unowned
ravinderpal singh,r singh,can,bat,0,Unowned
kanwarpal tathgur,k tathgur,can,wk,0,Unowned
shahidullah kamal,s kamal,afgh,alr,0,Unowned
abdollah ahmadzai,a ahmadzai,afgh,bowl,0,Unowned
mohammad ishaq,m ishaq,afgh,wk,0,Unowned
basir ahamad,b ahamad,nep,alr,0,Unowned
sundeep jora,s jora,nep,bat,0,Unowned
zain ali,z ali,ita,bowl,0,Unowned
syed naqvi,s naqvi,ita,bat,0,Unowned
wayne madsen,w madsen,ita,bat,0,Unowned
josh tongue,j tongue,eng,bowl,0,Unowned
ben duckett,b duckett,eng,bat,0,mahaarajanmg
rehan ahmed,r ahmed,eng,alr,0,Unowned
tinotenda maposa,t maposa,zim,bowl,0,Unowned
clive madande,c madande,zim,wk,0,Unowned
traveen mathew,t mathew,sl,bowl,0,Unowned
vijayakanth viyaskanth,v viyaskanth,sl,bowl,0,Unowned
dilshan madushanka,d madushanka,sl,bowl,0,Unowned
pramod madushan,p madushan,sl,bowl,0,Unowned
eshan malinga,e malinga,sl,bowl,0,mahaarajanmg
nuwan thushara,n thushara,sl,bowl,0,Unowned
milan rathnayake,m rathnayake,sl,bowl,0,Unowned
sahan arachchige,s arachchige,sl,alr,0,Unowned
charith asalanka,c asalanka,sl,bat,0,Unowned
janith liyanage,j liyanage,sl,bat,0,Unowned
niroshan dickwella,n dickwella,sl,wk,0,Unowned
dhananjaya de silva,d de silva,sl,alr,0,Unowned
kusal perera,k perera,sl,wk,0,neela
hassnain shah,h shah,oman,bowl,0,Unowned
shafiq jan,s jan,oman,bowl,0,Unowned
craig young,c young,ire,bowl,0,Unowned
ben white,b white,ire,bowl,0,Unowned
matthew short,m short,aus,bat,0,Unowned
josh hazlewood,j hazlewood,aus,bowl,0,Unowned
pat cummins,p cummins,aus,bowl,0,Unowned
mitchell marsh,m marsh,aus,bat,0,ds&ps
saqib zulfiqar,s zulfiqar,neth,bat,0,Unowned
noah croes,n croes,neth,wk,0,Unowned
jan balt,j balt,nam,bat,0,Unowned
jack brassell,j brassell,nam,bowl,0,Unowned
washington sundar,w sundar,ind,alr,0,Unowned
harshit rana,h rana,ind,bowl,0,Unowned
muhammad farooq,m farooq,uae,alr,-2,Unowned
thomas draca,t draca,ita,bowl,-2,Unowned
timm van der gugten,t van der gugten,neth,bowl,-5,Unowned
dhruv parashar,d parashar,uae,alr,-9,Unowned
safyaan sharif,s sharif,scot,bowl,-12,Unowned
muhammad arfan,m arfan,uae,bowl,-16,Unowned
tim david,t david,aus,bat,-21,Sriram
karan sonavale,k sonavale,oman,bat,-25,Unowned
max heingo,m heingo,nam,bowl,-25,Unowned
muhammad rohid,m rohid,uae,bowl,-33,Unowned
jaskaran singh,j singh,can,bowl,-34,Unowned
lalit rajbanshi,l rajbanshi,nep,bowl,-37,Unowned
abhishek sharma,a sharma,ind,bat,-42,ColdTaker
